X,Y,NOME_UF,TIPO,DATA_INI_U,DATA_INI_1,ACES,ULS,ARS,COD_POSTAL,COD_POST_1,DES_FREGUE,DES_CONCEL,WGS84_LAT_,WGS84_LONG,field_14,icon_url
-8.22538,40.1382,USF Trevim-Sol,USF-A,9/16/2011,9/16/2011,ACES Pinhal Interior Norte,,ARS Centro,3200-389,Lous?,Uni?o das freguesias de Lous? e Vilarinho,Lous?,40.138199999999998,-8.225379999999999,COIMBRA,./0.png
-9.06071,39.6122,USF Nazareth,USF-A,12/30/2009,12/30/2009,ACES Oeste Norte,,ARS Lisboa e Vale do Tejo,2450-125,Nazar‚,Nazar‚,Nazar‚,39.612200000000001,-9.060710000000000,LEIRIA,./0.png
-7.54028,38.4288,USF Remo,USF-A,10-01-09,10-01-09,ACES Alentejo Central,,ARS Alentejo,7200-372,Reguengos de Monsaraz,Reguengos de Monsaraz,Reguengos de Monsaraz,38.428800000000003,-7.540280000000000,VORA,./0.png
-7.16584,38.8703,USF Amoreira,USF-A,02-01-10,02-01-10,ACES S?o Mamede,ULS Norte Alentejano,ARS Alentejo,7350-314,Elvas,"Assun‡?o, Ajuda, Salvador e Santo Ildefonso",Elvas,38.870300000000000,-7.165840000000000,PORTALEGRE,./0.png
-7.16584,38.8703,USF Uadiana,USF-A,05-10-11,05-10-11,ACES S?o Mamede,ULS Norte Alentejano,ARS Alentejo,7350-000,Elvas,S?o Br s e S?o Louren‡o,Elvas,38.870300000000000,-7.165840000000000,PORTALEGRE,./0.png
-7.43566,39.2903,USF Portus Alacer,USF-A,09-01-09,09-01-09,ACES S?o Mamede,ULS Norte Alentejano,ARS Alentejo,7300-205,Portalegre,Uni?o das freguesias da S‚ e S?o Louren‡o,Portalegre,39.290300000000002,-7.435660000000000,PORTALEGRE,./0.png
-9.12964,39.4483,USF Tornada,USF-B,09-01-06,07-01-08,ACES Oeste Norte,,ARS Lisboa e Vale do Tejo,2500-315,Tornada,Uni?o das freguesias de Tornada e Salir do Porto,Caldas da Rainha,39.448300000000003,-9.129640000000000,LEIRIA,./0.png
-7.86644,38.0129,USF Alfa Beja,USF-B,3/20/2007,05-01-08,ACES Baixo Alentejo,ULS Baixo Alentejo,ARS Alentejo,7800-528,Beja,Uni?o das freguesias de Beja (Santiago Maior e S?o Jo?o Baptista),Beja,38.012900000000002,-7.866440000000000,BEJA,./0.png
-7.93176,37.0179,USF Ria Formosa,USF-B,4/30/2010,07-01-12,ACES Algarve Central,,ARS Algarve,8000-010,Faro,Uni?o das freguesias de Faro (S‚ e S?o Pedro),Faro,37.017899999999997,-7.931760000000000,FARO,./0.png
-7.06632,39.0202,USF Raia Maior,USF-A,12-01-12,12-01-12,ACES S?o Mamede,ULS Norte Alentejano,ARS Alentejo,7370-090,Campo Maior,S?o Jo?o Baptista,Campo Maior,39.020200000000003,-7.066320000000000,PORTALEGRE,./0.png
-8.85653,41.8118,USF Vale do ?ncora,USF-B,12/31/2008,01-01-11,ACES Alto Minho,ULS Alto Minho,ARS Norte,4910-527,Vila Praia de ?ncora,Vila Praia de ?ncora,Caminha,41.811799999999998,-8.856529999999999,VIANA DO CASTELO,./0.png
-8.56314,41.9118,USF Paredes de Coura,USF-A,12-03-12,12-03-12,ACES Alto Minho,ULS Alto Minho,ARS Norte,4940-520,Paredes de Coura,Uni?o das freguesias de Paredes de Coura e Resende,Paredes de Coura,41.911799999999999,-8.563140000000001,VIANA DO CASTELO,./0.png
-8.41309,41.8078,USF Terra da N¢brega,USF-A,12/30/2013,12/30/2013,ACES Alto Minho,ULS Alto Minho,ARS Norte,4980-633,Ponte da Barca,"Uni?o das freguesias de Ponte da Barca, Vila Nova de Mu¡a e Pa‡o Vedro de Magalh?es",Ponte da Barca,41.807800000000000,-8.413090000000000,VIANA DO CASTELO,./0.png
